time,x-position,velocity,momentum,kinetic energy,potential energy
8.7,-0.00173045,0.225841,0.225841,0.0255021,5.9889e-06
8.8,0.0201857,0.211143,0.211143,0.0222906,0.000814926
8.9,0.040248,0.188951,0.188951,0.0178512,0.00323981
9,0.0577668,0.160494,0.160494,0.0128791,0.00667401
9.1,0.0721849,0.127183,0.127183,0.00808777,0.0104213
9.2,0.0830927,0.0905515,0.0905515,0.00409978,0.0138088
9.3,0.0902373,0.0521852,0.0521852,0.00136165,0.0162856
9.4,0.0935245,0.0136607,0.0136607,9.33073e-05,0.0174937
9.5,0.0930145,-0.0235161,-0.0235161,0.000276504,0.0173034
9.6,0.0889124,-0.0579654,-0.0579654,0.00167999,0.0158108
9.7,0.0815529,-0.0884804,-0.0884804,0.00391439,0.0133017
9.8,0.0713809,-0.114067,-0.114067,0.00650558,0.0101905
9.9,0.0589293,-0.133969,-0.133969,0.00897386,0.00694532
10,0.0447934,-0.147691,-0.147691,0.0109064,0.0040129
10.1,0.029605,-0.155001,-0.155001,0.0120127,0.00175292
10.2,0.0140062,-0.155927,-0.155927,0.0121567,0.000392347
10.3,-0.00137653,-0.150744,-0.150744,0.011362,3.78968e-06
10.4,-0.0159555,-0.139953,-0.139953,0.00979336,0.000509157
10.5,-0.029203,-0.124245,-0.124245,0.00771838,0.00170563
10.6,-0.0406688,-0.104472,-0.104472,0.00545715,0.00330791
10.7,-0.049994,-0.0816001,-0.0816001,0.00332929,0.00499879
10.8,-0.0569202,-0.056671,-0.056671,0.0016058,0.00647982
10.9,-0.0612952,-0.0307539,-0.0307539,0.000472902,0.00751421
11,-0.0630733,-0.00490494,-0.00490494,1.20292e-05,0.00795649
11.1,-0.062312,0.0198741,0.0198741,0.00019749,0.00776557
11.2,-0.0591647,0.0426718,0.0426718,0.000910442,0.00700092
11.3,-0.0538702,0.0626983,0.0626983,0.00196554,0.00580399
11.4,-0.046739,0.07931,0.07931,0.00314504,0.00436907
11.5,-0.0381382,0.0920274,0.0920274,0.00423452,0.00290904
11.6,-0.0284737,0.100546,0.100546,0.00505475,0.0016215
11.7,-0.0181734,0.104739,0.104739,0.00548515,0.000660541
11.8,-0.00766864,0.104655,0.104655,0.00547633,0.000117616
11.9,0.00262195,0.100505,0.100505,0.00505064,1.37493e-05
12,0.0123087,0.0926494,0.0926494,0.00429196,0.000303009
12.1,0.0210444,0.081574,0.081574,0.00332716,0.000885733
12.2,0.0285357,0.0678666,0.0678666,0.00230294,0.00162857
12.3,0.034552,0.0521886,0.0521886,0.00136183,0.00238768
12.4,0.0389312,0.0352458,0.0352458,0.000621134,0.00303128
12.5,0.041583,0.0177588,0.0177588,0.000157687,0.0034583
12.6,0.0424884,0.000433963,0.000433963,9.4162e-08,0.00361054
12.7,0.0416975,-0.0160628,-0.0160628,0.000129006,0.00347736
12.8,0.0393236,-0.0311303,-0.0311303,0.000484548,0.0030927
12.9,0.0355364,-0.0442525,-0.0442525,0.00097914,0.00252567
13,0.030552,-0.0550138,-0.0550138,0.00151326,0.00186684
13.1,0.0246226,-0.063111,-0.063111,0.0019915,0.00121254
13.2,0.0180249,-0.0683591,-0.0683591,0.00233649,0.000649791
13.3,0.011048,-0.0706931,-0.0706931,0.00249875,0.000244117
13.4,0.0039818,-0.0701642,-0.0701642,0.0024615,3.17094e-05
13.5,-0.00289463,-0.0669326,-0.0669326,0.00223999,1.67577e-05
13.6,-0.00932312,-0.0612559,-0.0612559,0.00187614,0.000173841
13.7,-0.0150756,-0.0534739,-0.0534739,0.00142973,0.000454545
13.8,-0.0199612,-0.0439921,-0.0439921,0.000967654,0.000796899
13.9,-0.0238323,-0.0332621,-0.0332621,0.000553182,0.00113596
14,-0.0265879,-0.0217619,-0.0217619,0.000236789,0.00141384
14.1,-0.0281752,-0.00997627,-0.00997627,4.9763e-05,0.00158769
14.2,-0.0285894,0.00162247,0.00162247,1.3162e-06,0.00163471
14.3,-0.0278717,0.0125924,0.0125924,7.92847e-05,0.00155367
14.4,-0.0261052,0.0225377,0.0225377,0.000253974,0.00136296
14.5,-0.0234097,0.0311215,0.0311215,0.000484275,0.00109602
14.6,-0.0199353,0.0380765,0.0380765,0.000724911,0.000794829
14.7,-0.0158551,0.0432116,0.0432116,0.000933623,0.000502768
14.8,-0.0113574,0.046416,0.046416,0.00107722,0.00025798
14.9,-0.00663737,0.047659,0.047659,0.00113569,8.81093e-05
15,-0.00188945,0.0469882,0.0469882,0.00110395,7.14005e-06
15.1,0.00270038,0.0445229,0.0445229,0.000991143,1.45841e-05
15.2,0.00696136,0.0404464,0.0404464,0.000817957,9.69211e-05
15.3,0.0107438,0.034996,0.034996,0.000612359,0.00023086
15.4,0.013924,0.0284505,0.0284505,0.000404715,0.000387757
15.5,0.0164077,0.0211179,0.0211179,0.000222982,0.000538423
15.6,0.0181321,0.0133217,0.0133217,8.87333e-05,0.000657549
15.7,0.0190674,0.00538764,0.00538764,1.45134e-05,0.000727133
15.8,0.0192156,-0.00236893,-0.00236893,2.80592e-06,0.000738479
15.9,0.0186093,-0.00965509,-0.00965509,4.66104e-05,0.000692616
16,0.017309,-0.0162105,-0.0162105,0.000131389,0.000599203
16.1,0.015399,-0.0218157,-0.0218157,0.000237963,0.000474257
16.2,0.0129833,-0.0262993,-0.0262993,0.000345827,0.000337132
16.3,0.0101806,-0.0295415,-0.0295415,0.000436351,0.000207288
16.4,0.00711862,-0.0314768,-0.0314768,0.000495396,0.00010135
16.5,0.0039292,-0.0320937,-0.0320937,0.000515004,3.08772e-05
16.6,0.000742531,-0.0314325,-0.0314325,0.000494002,1.10271e-06
16.7,-0.00231759,-0.0295813,-0.0295813,0.000437526,1.07425e-05
16.8,-0.00513835,-0.02667,-0.02667,0.000355645,5.28054e-05
16.9,-0.00762173,-0.0228636,-0.0228636,0.000261372,0.000116182
